,Date,None,+2,+1,0,-1,-2,polarity,subjectivity,pos_refs_per_ref,neg_refs_per_ref,senti_diffs_per_ref
0,20200110,2174,11,26,1,99,148,-0.7394366197183099,0.11549410329402196,0.015046766978446523,0.10044733631557544,-0.08540056933712892
1,20200111,2401,2,11,0,115,407,-0.9514018691588785,0.1822207084468665,0.0044277929155313355,0.17779291553133514,-0.1733651226158038
2,20200112,691,3,3,0,62,103,-0.9298245614035088,0.19837587006960558,0.0069605568445475635,0.191415313225058,-0.18445475638051045
3,20200113,2266,7,28,12,103,253,-0.8209718670076727,0.1464968152866242,0.013113525665043087,0.1333832896215811,-0.12026976395653803
4,20200114,1427,0,7,2,53,133,-0.927461139896373,0.1189889025893958,0.004315659679408138,0.11467324290998766,-0.11035758323057954
5,20200115,1576,11,20,41,35,158,-0.7232142857142857,0.12167300380228137,0.01683867463335144,0.10483432916892993,-0.08799565453557849
6,20200116,3145,27,55,4,154,279,-0.6815533980582524,0.14055676855895197,0.02237991266375546,0.11817685589519651,-0.09579694323144104
7,20200117,3097,12,51,2,170,312,-0.7688073394495413,0.1495609220636663,0.01728869374313941,0.1322722283205269,-0.11498353457738748
8,20200118,1655,4,0,0,89,182,-0.9709090909090909,0.14248704663212436,0.002072538860103627,0.14041450777202072,-0.1383419689119171
9,20200119,2057,6,18,2,143,167,-0.8562874251497006,0.13957375679063935,0.010029251984956121,0.12954450480568325,-0.11951525282072713
10,20200120,16760,35,160,4,746,1518,-0.8413989426596177,0.12791967955053843,0.010144098215679135,0.11777558133485928,-0.10763148311918015
11,20200121,22889,73,422,14,704,1930,-0.6836049856184084,0.12019821757836509,0.019015058389674246,0.10118315918869084,-0.0821681007990166
12,20200122,34564,86,509,14,1151,3083,-0.7535721681507559,0.12254168041210953,0.01509884030755957,0.10744284010454995,-0.09234399979699039
13,20200123,38728,113,598,24,843,2902,-0.6808797127468582,0.10312905017589336,0.016455286058137383,0.08667376411775597,-0.07021847805961859
14,20200124,25815,81,420,24,1035,2304,-0.7390625,0.12938441322146974,0.016880622662488628,0.1125037905589811,-0.09562316789649247
15,20200125,20391,95,308,18,779,1870,-0.7359108781127129,0.13008823153318272,0.017177443416734155,0.11291078811644857,-0.09573334469971442
16,20200126,33864,70,325,8,899,2732,-0.8037754595131644,0.10623251886643095,0.01042271359966225,0.09580980526676869,-0.08538709166710644
17,20200127,57225,173,651,29,1484,4106,-0.7430620517617711,0.10074134573097945,0.012942137337437959,0.0877992083935415,-0.07485707105610354
18,20200128,58301,346,717,36,1523,3499,-0.6506162695152014,0.09445531029772437,0.01650057433795908,0.07795473595976529,-0.06145416162180622
19,20200129,57812,251,757,57,1358,2593,-0.5934664246823956,0.0789297765327561,0.01604380212644044,0.06288597440631566,-0.046842172279875215
20,20200130,60437,207,743,70,1465,2262,-0.5937566816335258,0.07175073637702503,0.014574128620520373,0.05717660775650466,-0.04260247913598429
21,20200131,64849,329,694,74,1624,1805,-0.5404312668463612,0.06417297297297297,0.014745945945945946,0.049427027027027025,-0.03468108108108108
22,20200201,50747,210,456,67,1358,1036,-0.5647058823529412,0.05679919812896759,0.012362178416304711,0.04443701971266288,-0.03207484129635817
23,20200202,51424,179,561,46,1148,963,-0.4808839003858295,0.05248430625356676,0.013622724176653596,0.03886158207691316,-0.025238857900259568
24,20200203,61289,342,748,66,1375,1337,-0.4266175697001578,0.05835136669889651,0.01672882422456528,0.04162254247433123,-0.02489371824976595
25,20200204,59281,304,813,77,1315,1237,-0.39111474516216954,0.058213146746632395,0.017722563345867644,0.04049058340076475,-0.022768020054897108
26,20200205,57113,279,741,56,1624,957,-0.43349069702860316,0.05925621194668422,0.016784597663320716,0.042471614283363504,-0.025687016620042784
27,20200206,50323,357,799,50,1138,821,-0.257784911717496,0.05823736165121149,0.021612324259647025,0.03662503739156446,-0.01501271313191744
28,20200207,53474,361,750,48,1184,835,-0.2900958466453674,0.05524959401256796,0.01961095813033962,0.03563863588222834,-0.016027677751888725
29,20200208,43959,187,525,37,1469,543,-0.47723935389133626,0.058304794520547945,0.01523972602739726,0.043065068493150685,-0.027825342465753425
30,20200209,40304,180,567,45,1118,539,-0.3785357737104825,0.056229972165695974,0.017472458073117675,0.0387575140925783,-0.021285056019460624
31,20200210,46122,258,689,50,1022,697,-0.2895723930982746,0.05458863999344773,0.019390638437282445,0.03519800155616528,-0.015807363118882835
32,20200211,47332,250,717,45,1073,664,-0.28476331360946744,0.053992532098001235,0.019308719873804437,0.0346838122241968,-0.015375092350392364
33,20200212,42368,271,631,46,1148,535,-0.3021276595744681,0.05744572101602258,0.02004488988644192,0.037400831129580654,-0.017355941243138738
34,20200213,39453,295,644,34,901,445,-0.17811816192560176,0.05470171406683903,0.022479172651536913,0.03222254141530212,-0.009743368763765201
35,20200214,38985,367,715,36,882,445,-0.10170195101701951,0.05814627081824765,0.026116340815833937,0.03202993000241371,-0.005913589186579773
36,20200215,32653,308,381,28,841,342,-0.2638888888888889,0.05417764014702052,0.01994038144300061,0.03423725870401991,-0.014296877261019303
37,20200216,34663,323,567,25,938,396,-0.19964028776978418,0.06025140875596012,0.024111400086692675,0.03614000866926745,-0.012028608582574773
38,20200217,36734,301,569,64,759,344,-0.11809427268119614,0.05088855072089964,0.022439452167857418,0.028449098553042222,-0.006009646385184803
39,20200218,36480,260,513,30,828,400,-0.2273863068465767,0.051959180493884864,0.020072187167302847,0.031886993326582014,-0.011814806159279167
40,20200219,39312,205,533,24,914,486,-0.30963517305893357,0.051550368905820515,0.017794280754207456,0.03375608815161306,-0.015961807397405603
41,20200220,40166,202,462,29,795,446,-0.30288713910761156,0.04524940617577197,0.015771971496437054,0.02947743467933492,-0.013705463182897863
42,20200221,41004,162,392,32,750,414,-0.3550640279394645,0.04018337465500304,0.012957851896898536,0.027225522758104505,-0.014267670861205969
43,20200222,41381,61,367,21,582,316,-0.35444947209653094,0.03103351432316046,0.01001685077700805,0.021016663546152406,-0.010999812769144355
44,20200223,30627,122,223,26,435,415,-0.4225941422594142,0.03752197940216026,0.010832705350414468,0.026689274051745794,-0.015856568701331324
45,20200224,30044,119,283,25,452,370,-0.3431372549019608,0.03911417888984757,0.012846323458920525,0.026267855430927044,-0.013421531972006519
46,20200225,37088,173,477,43,586,412,-0.2111650485436893,0.04249722788106965,0.016761649346295676,0.025735578534773977,-0.008973929188478301
47,20200226,38239,232,502,45,608,366,-0.1405152224824356,0.042708541708341666,0.01835367073414683,0.02435487097419484,-0.006001200240048009
