,Period,Top30
0,20200110-20200116,"[[('폐렴', 'Noun'), 1343], [('중국', 'Noun'), 738], [('우한', 'Noun'), 536], [('中', 'Foreign'), 405], [('환자', 'Noun'), 271], [('원인', 'Noun'), 271], [('신종', 'Noun'), 265], [('발생', 'Noun'), 255], [('첫', 'Noun'), 236], [('불명', 'Noun'), 230], [('국내', 'Noun'), 203], [('코로나바이러스', 'Noun'), 198], [('바이러스', 'Noun'), 178], [('‘', 'Foreign'), 170], [('사스', 'Noun'), 164], [('WHO', 'Alpha'), 164], [('하다', 'Verb'), 148], [('”', 'Foreign'), 146], [('사람', 'Noun'), 141], [('무관', 'Noun'), 138], [('전염', 'Noun'), 137], [('태국', 'Noun'), 137], [('사망자', 'Noun'), 136], [('증상', 'Noun'), 127], [('“', 'Foreign'), 122], [('일본', 'Noun'), 117], [('집단', 'Noun'), 114], [('서도', 'Noun'), 114], [('대응', 'Noun'), 113], [('가능성', 'Noun'), 112]]"
1,20200117-20200123,"[[('우한', 'Noun'), 9268], [('폐렴', 'Noun'), 8911], [('명', 'Noun'), 2690], [('중국', 'Noun'), 2522], [('中', 'Foreign'), 1959], [('확산', 'Noun'), 1791], [('신종', 'Noun'), 1686], [('‘', 'Foreign'), 1652], [('환자', 'Noun'), 1609], [('발생', 'Noun'), 1565], [('코로나바이러스', 'Noun'), 1511], [('국내', 'Noun'), 1329], [('비상', 'Noun'), 1199], [('확', 'Noun'), 1112], [('진자', 'Noun'), 1109], [('대응', 'Noun'), 1007], [('설', 'Noun'), 1002], [('확진', 'Noun'), 940], [('첫', 'Noun'), 893], [('하다', 'Verb'), 740], [('연휴', 'Noun'), 714], [('감염', 'Noun'), 708], [('의심', 'Noun'), 667], [('코로나', 'Noun'), 615], [('”', 'Foreign'), 607], [('강화', 'Noun'), 595], [('예방', 'Noun'), 593], [('방역', 'Noun'), 588], [('사망자', 'Noun'), 588], [('“', 'Foreign'), 531]]"
2,20200124-20200130,"[[('우한', 'Noun'), 19006], [('폐렴', 'Noun'), 15027], [('신종', 'Noun'), 8868], [('코로나', 'Noun'), 6344], [('명', 'Noun'), 4842], [('중국', 'Noun'), 4082], [('코로나바이러스', 'Noun'), 3800], [('확산', 'Noun'), 3666], [('‘', 'Foreign'), 3660], [('확', 'Noun'), 3056], [('진자', 'Noun'), 3039], [('대응', 'Noun'), 3018], [('하다', 'Verb'), 2820], [('환자', 'Noun'), 2761], [('中', 'Foreign'), 2655], [('국내', 'Noun'), 2121], [('발생', 'Noun'), 2073], [('마스크', 'Noun'), 1977], [('”', 'Foreign'), 1851], [('감염', 'Noun'), 1803], [('“', 'Foreign'), 1745], [('확진', 'Noun'), 1741], [('2', 'Number'), 1643], [('입국', 'Noun'), 1604], [('비상', 'Noun'), 1583], [('대책', 'Noun'), 1508], [('정부', 'Noun'), 1433], [('전세기', 'Noun'), 1419], [('바이러스', 'Noun'), 1301], [('교민', 'Noun'), 1282]]"
3,20200131-20200206,"[[('신종', 'Noun'), 17492], [('코로나', 'Noun'), 16416], [('우한', 'Noun'), 6741], [('명', 'Noun'), 4938], [('확', 'Noun'), 4248], [('진자', 'Noun'), 4228], [('폐렴', 'Noun'), 4123], [('중국', 'Noun'), 3592], [('하다', 'Verb'), 3523], [('확산', 'Noun'), 3116], [('코로나바이러스', 'Noun'), 3114], [('‘', 'Foreign'), 3033], [('마스크', 'Noun'), 2881], [('환자', 'Noun'), 2649], [('대응', 'Noun'), 2434], [('中', 'Foreign'), 2392], [('2', 'Number'), 2145], [('”', 'Foreign'), 2136], [('“', 'Foreign'), 2062], [('입국', 'Noun'), 1967], [('감염', 'Noun'), 1857], [('번', 'Noun'), 1753], [('교민', 'Noun'), 1645], [('바이러스', 'Noun'), 1641], [('연기', 'Noun'), 1585], [('격리', 'Noun'), 1551], [('지원', 'Noun'), 1523], [('취소', 'Noun'), 1505], [('확진', 'Noun'), 1503], [('방역', 'Noun'), 1490]]"
4,20200207-20200213,"[[('코로나', 'Noun'), 14120], [('신종', 'Noun'), 11579], [('명', 'Noun'), 3879], [('우한', 'Noun'), 2780], [('19', 'Number'), 2659], [('하다', 'Verb'), 2617], [('‘', 'Foreign'), 2339], [('확', 'Noun'), 2053], [('진자', 'Noun'), 2036], [('중국', 'Noun'), 1997], [('환자', 'Noun'), 1917], [('지원', 'Noun'), 1781], [('”', 'Foreign'), 1748], [('“', 'Foreign'), 1711], [('확산', 'Noun'), 1642], [('마스크', 'Noun'), 1634], [('코로나바이러스', 'Noun'), 1596], [('대응', 'Noun'), 1544], [('中', 'Foreign'), 1538], [('폐렴', 'Noun'), 1467], [('방역', 'Noun'), 1457], [('지역', 'Noun'), 1409], [('3', 'Number'), 1352], [('감염', 'Noun'), 1228], [('격리', 'Noun'), 1183], [('경제', 'Noun'), 1150], [('예방', 'Noun'), 1143], [('추가', 'Noun'), 1048], [('2', 'Number'), 967], [('번', 'Noun'), 957]]"
5,20200214-20200220,"[[('코로나', 'Noun'), 12104], [('19', 'Number'), 10477], [('명', 'Noun'), 3460], [('하다', 'Verb'), 2175], [('확', 'Noun'), 2101], [('진자', 'Noun'), 2082], [('‘', 'Foreign'), 2023], [('지역', 'Noun'), 1907], [('환자', 'Noun'), 1810], [('감염', 'Noun'), 1547], [('대구', 'Noun'), 1450], [('”', 'Foreign'), 1384], [('지원', 'Noun'), 1344], [('“', 'Foreign'), 1338], [('중국', 'Noun'), 1272], [('우한', 'Noun'), 1203], [('확산', 'Noun'), 1187], [('대응', 'Noun'), 1184], [('경제', 'Noun'), 1104], [('방역', 'Noun'), 1100], [('격리', 'Noun'), 1100], [('번', 'Noun'), 943], [('발생', 'Noun'), 927], [('확진', 'Noun'), 909], [('2', 'Number'), 896], [('中', 'Foreign'), 884], [('병원', 'Noun'), 847], [('추가', 'Noun'), 844], [('정부', 'Noun'), 843], [('마스크', 'Noun'), 801]]"
6,20200221-20200227,"[[('코로나', 'Noun'), 13095], [('19', 'Number'), 11009], [('명', 'Noun'), 4562], [('확', 'Noun'), 3884], [('진자', 'Noun'), 3869], [('대구', 'Noun'), 2583], [('확산', 'Noun'), 2051], [('하다', 'Verb'), 2051], [('확진', 'Noun'), 1886], [('신천지', 'Noun'), 1850], [('‘', 'Foreign'), 1631], [('발생', 'Noun'), 1404], [('”', 'Foreign'), 1344], [('병원', 'Noun'), 1318], [('“', 'Foreign'), 1311], [('방역', 'Noun'), 1266], [('지역', 'Noun'), 1254], [('대응', 'Noun'), 1178], [('2', 'Number'), 1175], [('추가', 'Noun'), 1087], [('감염', 'Noun'), 1081], [('환자', 'Noun'), 1018], [('경북', 'Noun'), 920], [('격리', 'Noun'), 885], [('폐쇄', 'Noun'), 842], [('마스크', 'Noun'), 837], [('1', 'Number'), 821], [('대다', 'Verb'), 821], [('등', 'Noun'), 806], [('지원', 'Noun'), 786]]"
7,20200228-20200305,"[[('코로나', 'Noun'), 12014], [('19', 'Number'), 10031], [('명', 'Noun'), 4327], [('확', 'Noun'), 3157], [('진자', 'Noun'), 3154], [('대구', 'Noun'), 2138], [('하다', 'Verb'), 2046], [('마스크', 'Noun'), 1837], [('신천지', 'Noun'), 1619], [('‘', 'Foreign'), 1499], [('확산', 'Noun'), 1448], [('방역', 'Noun'), 1376], [('확진', 'Noun'), 1333], [('”', 'Foreign'), 1250], [('지원', 'Noun'), 1245], [('“', 'Foreign'), 1222], [('추가', 'Noun'), 1187], [('2', 'Number'), 1147], [('발생', 'Noun'), 1091], [('격리', 'Noun'), 945], [('지역', 'Noun'), 938], [('환자', 'Noun'), 931], [('대응', 'Noun'), 926], [('극복', 'Noun'), 924], [('기부', 'Noun'), 843], [('3', 'Number'), 819], [('경북', 'Noun'), 798], [('1', 'Number'), 786], [('감염', 'Noun'), 752], [('긴급', 'Noun'), 724]]"
8,20200306-20200312,"[[('코로나', 'Noun'), 10800], [('19', 'Number'), 8980], [('명', 'Noun'), 4051], [('확', 'Noun'), 2914], [('진자', 'Noun'), 2905], [('하다', 'Verb'), 2055], [('마스크', 'Noun'), 1947], [('대구', 'Noun'), 1786], [('확진', 'Noun'), 1561], [('‘', 'Foreign'), 1544], [('지원', 'Noun'), 1406], [('방역', 'Noun'), 1274], [('”', 'Foreign'), 1180], [('“', 'Foreign'), 1145], [('감염', 'Noun'), 1112], [('극복', 'Noun'), 1093], [('지역', 'Noun'), 976], [('추가', 'Noun'), 942], [('2', 'Number'), 934], [('확산', 'Noun'), 912], [('신천지', 'Noun'), 896], [('발생', 'Noun'), 866], [('격리', 'Noun'), 835], [('대응', 'Noun'), 799], [('경북', 'Noun'), 764], [('1', 'Number'), 695], [('등', 'Noun'), 690], [('입국', 'Noun'), 673], [('환자', 'Noun'), 673], [('기부', 'Noun'), 658]]"
9,20200313-20200319,"[[('코로나', 'Noun'), 9741], [('19', 'Number'), 7848], [('명', 'Noun'), 3078], [('확', 'Noun'), 2184], [('진자', 'Noun'), 2169], [('하다', 'Verb'), 1996], [('‘', 'Foreign'), 1551], [('마스크', 'Noun'), 1521], [('지원', 'Noun'), 1398], [('확진', 'Noun'), 1267], [('”', 'Foreign'), 1246], [('“', 'Foreign'), 1219], [('대구', 'Noun'), 1139], [('방역', 'Noun'), 1108], [('극복', 'Noun'), 1089], [('지역', 'Noun'), 1000], [('감염', 'Noun'), 955], [('추가', 'Noun'), 908], [('2', 'Number'), 903], [('연기', 'Noun'), 819], [('등', 'Noun'), 814], [('확산', 'Noun'), 768], [('1', 'Number'), 690], [('전달', 'Noun'), 665], [('경북', 'Noun'), 661], [('발생', 'Noun'), 655], [('성금', 'Noun'), 616], [('격리', 'Noun'), 605], [('한국', 'Noun'), 580], [('대응', 'Noun'), 553]]"
